identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
Amazon CodeWhisperer,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:55 UTC,2024-09-05 12:30:55 UTC
AWS X-Ray,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
*.people.aws.dev,OTHER,"",false,true,none,none,low,low,,2024-06-18 13:31:55 UTC,2024-06-18 13:31:55 UTC
Amazon GameSparks,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
AWS WorkDocs,OTHER,"",false,true,,,,critical,,2024-06-18 13:31:55 UTC,2024-06-18 13:31:55 UTC
AWS Control Tower,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
Bottlerocket,OTHER,"",false,true,,,,critical,,2024-09-05 12:33:09 UTC,2024-09-05 12:33:09 UTC
Amazon Comprehend Medical,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:55 UTC,2024-09-05 12:30:55 UTC
Amazon Route 53,OTHER,"",false,true,,,,critical,,2025-09-11 19:10:19 UTC,2025-09-11 19:10:19 UTC
*.agscollab.com,OTHER,"",false,true,,,,critical,,2024-06-18 13:31:55 UTC,2024-06-18 13:31:55 UTC
https://github.com/amazonlinux/amazon-linux-2023,SOURCE_CODE,"",false,true,,,,critical,,2024-08-14 13:44:34 UTC,2024-08-14 13:44:34 UTC
Amazon Location,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Mainframe Modernization Service,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS End User Messaging Social,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Mobile SDK for iOS,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon VPC Lattice,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon GuardDuty,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
Amazon CodeCatalyst,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:55 UTC,2024-09-05 12:30:55 UTC
AWS SDK for Ruby,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Elemental MediaPackage,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
Amazon Aurora,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:54 UTC,2024-09-05 12:30:54 UTC
Open Distro,OTHER,"",false,true,,,,critical,,2024-09-05 12:34:34 UTC,2024-09-05 12:34:34 UTC
AWS Support Plans,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS IoT Wireless,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon RHEL Knowledgebase Portal,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS PrivateLink,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS CodeConnections,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Payment Cryptography,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon Kinesis Data Streams,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
AWS User Subscriptions,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Application Transformation Service,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Kiro,OTHER,"",false,true,not_defined,not_defined,not_defined,critical,,2025-07-16 20:45:37 UTC,2025-07-16 20:45:37 UTC
Vector Engine for Amazon OpenSearch Serverless,OTHER,"",false,true,,,,critical,,2024-09-05 12:34:35 UTC,2024-09-05 12:34:35 UTC
AWS Identity and Access Management Access Analyzer,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:22 UTC,2024-09-05 12:30:22 UTC
Amazon WorkSpaces Core,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
https://github.com/aws/aws-sdk,SOURCE_CODE,"",false,true,,,,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
Amazon Redshift Serverless,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon DynamoDB,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
PartiQL,OTHER,"",false,true,,,,critical,,2024-09-05 12:34:35 UTC,2024-09-05 12:34:35 UTC
AWS IoT Events,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Lambda,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
https://github.com/aws/amazon-ecs-cli,SOURCE_CODE,"",false,true,,,,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
AWS ParallelCluster,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon Inspector,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
AWS Batch,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:19 UTC,2024-09-05 12:30:19 UTC
Amazon OpenSearch,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
1023499075,APPLE_STORE_APP_ID,"",false,true,,,,critical,,2024-06-18 13:31:55 UTC,2024-06-18 13:31:55 UTC
Amazon WorkDocs,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon Macie,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
AWS Cloud WAN,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
